,0,1,2,3,4
0,1470,이번주 토요일에 아빠 생일이에요,8,여,가족 생일
1,1472,이모네 갈 거예요 이모부 생신이래요,8,여,가족 생일
2,1518,그저께 할아버지 생신 파티했어요,8,여,가족 생일
3,1525,아빠 생일이어서 생일카드 썼어요,8,여,가족 생일
4,1690,엄마 생일에 맛있는 거 먹으러 갈 거래요,8,여,가족 생일
5,1731,어제가 우리 아빠 생일이었어요,8,여,가족 생일
6,1761,다음 주에 할아버지 생신이래요,8,여,가족 생일
7,1794,제 생일은 시 월이에요,8,여,가족 생일
8,1811,할머니 생신은 다음 달이래요,8,여,가족 생일
9,1812,내일 내 동생 생일이에요,8,여,가족 생일
10,1834,이모 생일이어서 케이크를 샀어요,8,여,가족 생일
11,1838,어제 할머니 생신이셔서 파티했어요,8,여,가족 생일
12,1861,내 동생은 겨울에 태어났어요,8,여,가족 생일
13,1871,오늘은 우리 엄마 생일이에요,8,여,가족 생일
14,1874,이 책 다 봤어 이제 내가 봐도 돼,8,여,가정
15,1882,삼촌은 기타를 잘 쳐요,8,여,가족 소개하기
16,1895,시끄럽게 떠들고 얄미워,8,여,가족에 대해 말하기
17,1897,이모는 저랑 잘 놀아 줘요,8,여,가족 소개하기
18,1898,삼촌은 내가 말하는 거 다 만들어 줘요,8,여,가족 소개하기
19,1901,아빠 회사가 명동에 있는데 주말에 놀러간 적이 있어요,8,여,가족 소개하기
20,1905,할머니는 흰머리가 많으셔서 염색을 해요,8,여,가족 소개하기
21,1910,삼촌이랑 레고 만드는 게 좋아요,8,여,가족 소개하기
22,1914,우리 아빠는 은행에서 일해,8,여,가족에 대해 말하기
23,1916,동생이 생기면 잘해 줄 거예요,8,여,가족 소개하기
24,1919,저는 할머니 외할아버지랑 같이 살아요,8,여,가족 소개하기
25,1922,나 이거 볼 거야 조용히 해,8,여,가정
26,1928,우리집은 고양이를 키워요,8,여,가족 소개하기
27,1929,저희는 말티즈 한 마리를 키워요,8,여,가족 소개하기
28,1930,할머니 집에 놀러갈 때마다 제가 좋아하는 음식을 많이 만들어 주세요,8,여,가족 소개하기
29,1931,이모 집에 가면 제가 좋아하는 사촌들과 놀 수 있어서 벌써 부터 기대되요,8,여,가족 소개하기
30,1935,우리 이모는 미국에 살아,8,여,가족에 대해 말하기
31,1936,엄마는 게임하는 걸 싫어하는데 이모 집에 가면 게임을 실컷 할 수 있어요,8,여,가족 소개하기
32,1939,할아버지는 흰머리가 많으시고 눈이 나쁘셔서 안경을 써요,8,여,가족 소개하기
33,1940,맛있어 나도 한 입만,8,여,가정
34,1948,우리 엄마는 선생님이야,8,여,가족에 대해 말하기
35,1949,할아버지는 머리가 하얘요,8,여,가족 소개하기
36,1957,내동생은 유치원 다녀요,8,여,가족 소개하기
37,1959,할아버지랑 문구점 같이 가기로 약속했어요,8,여,가족 소개하기
38,1960,우리 할머니는 시골에 사셔,8,여,가족에 대해 말하기
39,1962,나 숙제해야 해 방해하지 마,8,여,가정
40,1963,너 지금 나 때렸냐 엄마한테 이를 거야,8,여,가정
41,1976,삼촌은 나이가 서른 살이 넘었는데 결혼은 하지 않았어요,8,여,가족 소개하기
42,1984,엄마가 밥 먹으래 빨리 나와,8,여,가정
43,1987,고모랑 주말마다 레고하는 게 너무 재미있어요,8,여,가족 소개하기
44,1988,엄마가 학교에 데릴러 오실 때가 너무 기달려져요,8,여,가족 소개하기
45,1995,나 지금 숙제하고 있잖아,8,여,가정
46,1998,저는 동생이 가끔 미울 때가 있어요,8,여,가족 소개하기
47,2002,나도 할래 나도 해보고 싶어,8,여,가정
48,2003,할머니네 집 근처에 바다가 있어서 자주 놀러가요,8,여,가족 소개하기
49,2005,우리 가족은 네 명이야,8,여,가족에 대해 말하기
50,2011,저도 아빠 닮아서 그런지 키가 커요,8,여,가족 소개하기
51,2012,너 숙제 다했어 게임해도 돼,8,여,가정
52,2017,할아버지는 책을 보실 때 돋보기를 써요,8,여,가족 소개하기
53,2028,우리 엄마가 세상에서 제일 예뻐요,8,여,가족 소개하기
54,2037,삼촌이 이멀 주말에 숙모가 되심 분과 같이 오신다공 하셨어요,8,여,가족 소개하기
55,2043,저는 엄마가 제일 좋아요,8,여,가족 소개하기
56,2048,저는 남동생이 한 명 있어요,8,여,가족 소개하기
57,2050,우리 집에는 이모가 주신 고양이가 두 마리 있어요,8,여,가족 소개하기
58,2055,고모랑 게임하는 게 재밌어요,8,여,가족 소개하기
59,2069,엄마는 저한테 항상 양보하라고 하고 동생 편만 들어요,8,여,가족 소개하기
60,2078,여름 방학 때 울산 이모집에 놀러갈 거에요,8,여,가족 소개하기
61,2079,한 달에 한 번 수원 할머니네 집에 가요,8,여,가족 소개하기
62,2085,저랑 제 동생은 세 살 차이가 나요,8,여,가족 소개하기
63,2086,우리 아빠는 회사원이에요,8,여,가족 소개하기
64,2090,우리 가족은 엄마 아빠 나 세 명이요,8,여,가족 소개하기
65,2092,놀이터 갈래 엄마한테 물어봐,8,여,가정
66,2095,이거 내 거잖아 만지지 마,8,여,가정
67,2096,저는 엄마도 좋고 아빠도 좋아요,8,여,가족 소개하기
68,2105,엄마가 티비 봐도 된데 진짜,8,여,가정
69,2112,밥 먹고 하래 이거 다 정리해,8,여,가정
70,2115,제 동생은 제 말을 잘 안 들어요,8,여,가족 소개하기
71,2117,저는 여동생이 두 명 있어요,8,여,가족 소개하기
72,2125,맨날 내 말 따라하고 공부하는데 방해해,8,여,가족에 대해 말하기
73,2128,저희는 할머니랑 같이 살아요,8,여,가족 소개하기
74,2132,나도 몰라 엄마한테 물어 봐,8,여,가정
75,2135,저는 동생한테 재미있는 동화책을 자주 읽어줘요,8,여,가족 소개하기
76,2136,우리 집에 강아지가 두 마리 있어요,8,여,가족 소개하기
77,2138,우리 가족은 네 명이에요,8,여,가족 소개하기
78,2143,우리 아빠는 키가 커요,8,여,가족 소개하기
79,2148,조립하기 어려운 레고도 고모가 척척 만들어 주세요,8,여,가족 소개하기
80,2160,저랑 제 동생은 쌍둥이에요,8,여,가족 소개하기
81,2162,나는 여동생이 있어,8,여,가족에 대해 말하기
82,2174,삼촌 방에 가면 컴퓨터가 큰 게 있어요,8,여,가족 소개하기
83,2175,삼촌이 오시면 제 방에서 같이 게임을 해요,8,여,가족 소개하기
84,2180,고모가 열 살 생일 선물로 제가 제일 갖고 싶었던 레고를 사주셨어요,8,여,가족 소개하기
85,2185,우리 삼촌은 베트남에 있어,8,여,가족에 대해 말하기
86,2186,엄마 뱃속에 동생이 있어요 다음 달에 동생이 태어나요,8,여,가족 소개하기
87,2188,이모는 중학교 영어 선생님이에요,8,여,가족 소개하기
88,2194,아빠는 주말에 저랑 잘 놀아주세요,8,여,가족 소개하기
89,2198,우리 할머니는 요리를 잘 하세요,8,여,가족 소개하기
90,2199,제 동생은 제 물건을 자꾸 가져가요,8,여,가족 소개하기
91,2202,나는 주말에 아빠랑 캐치볼을 해,8,여,가족에 대해 말하기
92,2203,할머니는 흰머리가 많아요,8,여,가족 소개하기
93,2209,내 동생은 맨날 귀찮게 졸졸 쫓아 다녀,8,여,가족에 대해 말하기
94,2212,나도 보여줘 한번만 해 보자,8,여,가정
95,2381,어제가 우리 아빠 생일이었어요,8,여,가족 생일
96,2387,이모 생일이어서 케이크 샀어요,8,여,가족 생일
97,2413,이번주 토요일은 아빠 생일이에요,8,여,가족 생일
98,2418,내 동생은 겨울에 태어났어요,8,여,가족 생일
99,2566,아빠 생일이어서 생일카드 썼어요,8,여,가족 생일
100,2571,다음 주에 할아버지 생신이래요,8,여,가족 생일
101,2583,엄마 생일에 맛있는 거 먹으러 갈 거래요,8,여,가족 생일
102,2615,어제 할머니 생신이셔서 파티했어요,8,여,가족 생일
103,2642,내일은 내 동생 생일이에요,8,여,가족 생일
104,2645,제 생일은 시 월이에요,8,여,가족 생일
105,2649,할머니 생신은 다음 달이래요,8,여,가족 생일
106,2670,오늘은 우리 엄마 생일이에요,8,여,가족 생일
107,2675,그저께 할아버지 생신 파티했어요,8,여,가족 생일
