,0,1
0,"['이번', '주', '토요일', '에', '아빠', '생일', '이에요']",8
1,"['이모', '네', '갈다', '거', '예요', '이모', '부', '생신', '이래', '요']",8
2,"['그저께', '할아버지', '생신', '파티', '하다']",8
3,"['아빠', '생일', '이어서', '생일', '카드', '써다']",8
4,"['엄마', '생일', '에', '맛있다', '거', '먹다', '갈다', '거래', '요']",8
5,"['어제', '가', '우리', '아빠', '생일', '이다']",8
6,"['다음', '주', '에', '할아버지', '생신', '이래', '요']",8
7,"['제', '생일', '은', '시', '월', '이에요']",8
8,"['할머니', '생신', '은', '다음', '달이다']",8
9,"['내일', '내', '동생', '생일', '이에요']",8
10,"['이모', '생일', '이어서', '케이크', '를', '사다']",8
11,"['어제', '할머니', '생신', '이', '셔', '서', '파티', '하다']",8
12,"['내', '동생', '은', '겨울', '에', '태어나다']",8
13,"['오늘', '은', '우리', '엄마', '생일', '이에요']",8
14,"['이', '책', '다', '보다', '이제', '내', '가', '보다', '돼다']",8
15,"['삼촌', '은', '기타', '를', '자다', '치다']",8
16,"['시끄럽다', '떠들다', '얄밉다']",8
17,"['이모', '는', '저', '랑', '자다', '놀다', '주다']",8
18,"['삼촌', '은', '내', '가', '말', '하다', '거', '다', '만들다', '주다']",8
19,"['아빠', '회사', '가', '명동', '에', '있다', '주말', '에', '놀다', '간', '적', '이', '있다']",8
20,"['할머니', '는', '희다', '머리', '가', '많다', '염색', '을', '해', '요']",8
21,"['삼촌', '이랑', '레고', '만들다', '게', '좋다']",8
22,"['우리', '아빠', '는', '은행', '에서', '일해']",8
23,"['동생', '이', '생기', '면', '잘', '하다', '줄', '거', '예요']",8
24,"['저', '는', '할머니', '외할아버지', '랑', '같이', '살다']",8
25,"['나', '이', '거', '볼', '거야', '조용하다', '해']",8
26,"['우리', '집다', '고양이', '를', '키우다']",8
27,"['저희', '는', '말티즈', '하다', '마리', '를', '키우다']",8
28,"['할머니', '집', '에', '놀다', '갈다', '때', '마다', '제', '가', '좋아하다', '음식', '을', '많이', '만들다', '줄다']",8
29,"['이모', '집', '에', '가면', '제', '가', '좋아하다', '사촌', '들', '과', '놀', '수', '있다', '벌써', '부터', '기대다', '요']",8
30,"['우리', '이모', '는', '미국', '에', '살', '아']",8
31,"['엄마', '는', '게임', '하다', '걸', '싫어하다', '이모', '집', '에', '가면', '게임', '을', '실컷', '하다', '수', '있다']",8
32,"['할아버지', '는', '희다', '머리', '가', '많다', '눈', '이', '나쁘다', '안경', '을', '써다']",8
33,"['맛있다', '나다', '하다', '입', '만']",8
34,"['우리', '엄마', '는', '선생님', '이야']",8
35,"['할아버지', '는', '머리', '가', '하', '얘', '요']",8
36,"['내', '동생', '은', '유치원', '다니다']",8
37,"['할아버지', '랑', '문구점', '같이', '가기', '로', '약속', '하다']",8
38,"['우리', '할머니', '는', '시골', '에', '사다']",8
39,"['나', '숙제', '하다', '해', '방해', '하다', '마']",8
40,"['너', '지금', '나', '때리다', '엄마', '한테', '이르다', '거야']",8
41,"['삼촌', '은', '나이', '가', '서른', '살이', '넘다', '결혼', '은', '하다', '않다']",8
42,"['엄마', '가', '밥', '먹다', '빨리', '나오다']",8
43,"['고모', '랑', '주말', '마다', '레고', '하다', '게', '너무', '재미있다']",8
44,"['엄마', '가', '학교', '에', '데리다', '오다', '때', '가', '너무', '기', '달다']",8
45,"['나', '지금', '숙제', '하고', '있다']",8
46,"['저', '는', '동생', '이', '가끔', '미우다', '때', '가', '있다']",8
47,"['나다', '하다', '나다', '해보다', '싶다']",8
48,"['할머니', '네', '집', '근처', '에', '바다', '가', '있다', '자주', '놀다', '가요']",8
49,"['우리', '가족', '은', '네', '명', '이야']",8
50,"['저', '도', '아빠', '닮다', '그렇다', '키', '가', '크다']",8
51,"['너', '숙제', '다', '하다', '게임', '하다', '돼다']",8
52,"['할아버지', '는', '책', '을', '보다', '때', '돋보기', '를', '써다']",8
53,"['우리', '엄마', '가', '세상', '에서', '제일', '예쁘다']",8
54,"['삼촌', '이', '이', '멀다', '주말', '에', '숙모', '가', '되다', '심', '분과', '같이', '오', '신', '다공', '하다']",8
55,"['저', '는', '엄마', '가', '제일', '좋다']",8
56,"['저', '는', '남동생', '이', '하다', '명', '있다']",8
57,"['우리', '집', '에는', '이모', '가', '주신', '고양이', '가', '두', '마리', '있다']",8
58,"['고모', '랑', '게임', '하다', '게', '재밌다']",8
59,"['엄마', '는', '저', '한테', '항상', '양보', '하', '라고', '하다', '동생', '편', '만', '들다']",8
60,"['여름', '방학', '때', '울산', '이', '모집', '에', '놀다', '갈다', '거', '에요']",8
61,"['하다', '달', '에', '하다', '번', '수원', '할머니', '네', '집', '에', '가요']",8
62,"['저', '랑', '제', '동생', '은', '세', '살', '차이', '가', '나요']",8
63,"['우리', '아빠', '는', '회사원', '이에요']",8
64,"['우리', '가족', '은', '엄마', '아빠', '나', '세', '명', '이', '요']",8
65,"['놀이터', '갈래', '엄마', '한테', '물어보다']",8
66,"['이', '거', '내', '거', '잖다', '만', '지지', '마']",8
67,"['저', '는', '엄마', '도', '좋다', '아빠', '도', '좋다']",8
68,"['엄마', '가', '티비', '보다', '되다', '진짜']",8
69,"['밥', '먹다', '하래', '이', '거', '다', '정리', '하다']",8
70,"['제', '동생', '은', '제', '말', '을', '자다', '안', '들다']",8
71,"['저', '는', '여동생', '이', '두', '명', '있다']",8
72,"['맨날', '내', '말', '따르다', '공부', '하다', '방해', '하다']",8
73,"['저희', '는', '할머니', '랑', '같이', '살다']",8
74,"['나다', '모르다', '엄마', '한테', '물어', '보다']",8
75,"['저', '는', '동생', '한테', '재미있다', '동화책', '을', '자주', '읽다']",8
76,"['우리', '집', '에', '강아지', '가', '두', '마리', '있다']",8
77,"['우리', '가족', '은', '네', '명', '이에요']",8
